,Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ
93,0.0,0.0,70.0,286.0,57.0,87.0,56.0,0,0,0.0
94,0.0,0.0,39.0,148.0,40.0,58.0,40.0,0,0,0.0
95,0.0,0.0,53.0,130.0,4.0,55.0,41.0,0,0,0.0
96,0.0,0.0,97.0,246.0,25.0,139.0,56.0,0,0,0.0
97,0.0,0.0,108.0,368.0,80.0,144.0,64.0,0,0,0.0
98,0.0,0.0,145.0,266.0,47.0,146.0,75.0,0,0,3.0
99,0.0,0.0,224.375,600.0,53.0,286.0,107.0,0,0,0.0
100,0.0,0.0,148.0,516.0,103.0,194.0,114.0,0,0,18.0
101,0.0,0.0,224.375,637.0,116.875,288.875,137.5,0,0,0.0
102,0.0,0.0,114.0,299.0,47.0,148.0,90.0,0,0,1.0
103,0.0,0.0,87.0,250.0,52.0,112.0,61.0,0,0,3.0
104,0.0,0.0,152.0,400.0,85.0,181.0,107.0,0,0,5.0
105,0.0,0.0,99.0,283.0,23.0,104.0,31.0,0,0,0.0
106,0.0,0.0,26.0,65.0,6.0,29.0,13.0,0,0,0.0
107,0.0,0.0,23.0,87.0,37.0,39.0,35.0,0,0,0.0
108,0.0,0.0,56.0,171.0,12.0,77.0,28.0,0,0,0.0
109,0.0,0.0,32.0,168.0,17.0,47.0,24.0,0,0,0.0
110,0.0,0.0,46.0,213.0,50.0,57.0,35.0,0,0,0.0
111,0.0,0.0,20.0,62.0,11.0,24.0,1.0,0,0,4.0
112,0.0,0.0,80.0,208.0,26.0,95.0,0.0,0,0,52.5
113,0.0,0.0,13.0,18.0,1.0,15.0,0.0,0,0,11.0
114,0.0,0.0,62.0,142.0,17.0,146.0,3.0,0,0,20.0
115,0.0,0.0,130.0,627.0,79.0,127.0,0.0,0,0,52.5
116,0.0,0.0,19.0,23.0,8.0,22.0,0.0,0,0,16.0
117,0.0,0.0,53.0,159.0,18.0,53.0,1.0,0,0,37.0
118,0.0,0.0,17.0,110.0,3.0,16.0,0.0,0,0,9.0
119,0.0,0.0,37.0,144.0,15.0,40.0,0.0,0,0,24.0
120,0.0,0.0,45.0,122.0,23.0,66.0,0.0,0,0,30.0
121,0.0,0.0,34.0,100.0,18.0,35.0,0.0,0,0,19.0
122,0.0,0.0,66.0,158.0,33.0,98.0,0.0,0,0,52.5
123,0.0,0.0,44.0,127.0,10.0,60.0,1.0,0,0,30.0
124,0.0,0.0,97.0,270.0,28.0,100.0,0.0,0,0,45.0
125,0.0,0.0,224.375,562.0,57.0,288.875,0.0,0,0,52.5
126,0.0,0.0,73.0,218.0,13.0,83.0,1.0,0,0,38.0
127,0.0,0.0,27.0,85.0,16.0,27.0,1.0,0,0,10.0
128,0.0,0.0,94.0,312.0,65.0,137.0,0.0,0,0,52.5
129,0.0,0.0,174.0,684.0,116.875,201.0,0.0,0,0,52.5
130,0.0,0.0,32.0,131.0,53.0,33.0,0.0,0,0,16.0
131,0.0,0.0,18.0,98.0,33.0,27.0,0.0,0,0,21.0
132,0.0,0.0,54.0,159.0,59.0,58.0,0.0,0,0,41.0
133,0.0,0.0,95.0,280.0,42.0,137.0,0.0,0,0,52.5
134,0.0,0.0,78.0,255.0,21.0,108.0,0.0,0,0,52.5
135,0.0,0.0,141.0,233.0,41.0,144.0,0.0,0,0,52.5
136,0.0,0.0,212.0,535.0,33.0,265.0,0.0,0,0,52.5
137,0.0,0.0,219.0,577.0,116.875,273.0,0.0,0,0,52.5
138,0.0,0.0,224.375,618.0,98.0,288.875,2.0,0,0,52.5
139,0.0,0.0,96.0,251.0,51.0,113.0,0.0,0,0,52.5
140,0.0,0.0,105.0,324.0,82.0,134.0,0.0,0,0,52.5
141,0.0,0.0,137.0,344.0,58.0,159.0,0.0,0,0,52.5
142,0.0,0.0,77.0,249.0,25.0,77.0,0.0,0,0,23.0
143,0.0,0.0,31.0,88.0,23.0,36.0,0.0,0,0,16.0
144,0.0,0.0,27.0,78.0,15.0,34.0,0.0,0,0,26.0
145,0.0,0.0,45.0,128.0,3.0,66.0,0.0,0,0,18.0
146,0.0,0.0,55.0,292.0,41.0,66.0,0.0,0,0,33.0
147,0.0,0.0,21.0,56.0,19.0,21.0,0.0,0,0,9.0
148,0.0,0.0,21.0,57.0,3.0,27.0,0.0,0,0,8.0
149,0.0,0.0,76.0,191.0,25.0,92.0,0.0,0,0,52.5
150,0.0,0.0,22.0,39.0,10.0,23.0,0.0,0,0,12.0
151,0.0,0.0,59.0,156.0,45.0,64.0,1.0,0,0,24.0
152,0.0,0.0,217.0,684.375,116.875,247.0,0.0,0,0,52.5
153,0.0,0.0,12.0,37.0,24.0,19.0,0.0,0,0,16.0
154,0.0,0.0,53.0,123.0,9.0,51.0,1.0,0,0,34.0
155,0.0,0.0,21.0,70.0,5.0,21.0,0.0,0,0,13.0
156,0.0,0.0,54.0,133.0,20.0,70.0,0.0,0,0,48.0
157,0.0,0.0,58.0,172.0,30.0,71.0,0.0,0,0,29.0
158,0.0,0.0,30.0,87.0,29.0,33.0,0.0,0,0,16.0
159,0.0,0.0,63.0,125.0,40.0,87.0,0.0,0,0,52.5
160,0.0,0.0,27.0,62.0,5.0,38.0,0.0,0,0,18.0
161,0.0,0.0,56.0,134.0,21.0,63.0,0.0,0,0,24.0
162,0.0,0.0,224.375,621.0,66.0,288.875,0.0,0,0,52.5
163,0.0,0.0,90.0,256.0,30.0,112.0,0.0,0,0,44.0
164,0.0,0.0,37.0,130.0,22.0,38.0,0.0,0,0,20.0
165,0.0,0.0,129.0,510.0,62.0,221.0,0.0,0,0,52.5
166,0.0,0.0,177.0,684.375,116.875,188.0,0.0,0,0,52.5
167,0.0,0.0,40.0,190.0,40.0,51.0,0.0,0,0,30.0
168,0.0,0.0,10.0,38.0,13.0,17.0,0.0,0,0,11.0
169,0.0,0.0,62.0,248.0,28.0,64.0,0.0,0,0,47.0
170,0.0,0.0,137.0,428.0,68.0,232.0,1.0,0,0,52.5
171,0.0,0.0,108.0,365.0,76.0,136.0,0.0,0,0,52.5
172,0.0,0.0,159.0,262.0,43.0,156.0,2.0,0,0,52.5
173,0.0,0.0,224.375,684.375,59.0,288.875,3.0,0,0,52.5
174,0.0,0.0,180.0,684.375,108.0,225.0,0.0,0,0,52.5
175,0.0,0.0,224.375,633.0,116.875,288.875,0.0,0,0,52.5
176,0.0,0.0,134.0,247.0,62.0,162.0,0.0,0,0,52.5
177,0.0,0.0,107.0,302.0,63.0,134.0,0.0,0,0,52.5
178,0.0,0.0,163.0,494.0,93.0,185.0,1.0,0,0,52.5
179,0.0,0.0,74.0,261.0,34.0,80.0,2.0,0,0,31.0
180,0.0,0.0,27.0,135.0,23.0,37.0,0.0,0,0,14.0
181,0.0,0.0,35.0,146.0,25.0,65.0,0.0,0,0,52.5
